AccountId,Nickname,AssumableRole,Partition,DefaultRegion,SSORegion
180090899218,va-test,,aws-us-gov,us-gov-west-1,us-gov-west-1
186840595018,other,arn:aws-us-gov:iam::186840595018:role/AccessGuardAccess,aws-us-gov,us-gov-west-1,us-gov-west-1
